1.1.1.86	00770
1.1.1.86	01065
1.1.1.86	01100
1.1.1.86	01110
1.1.1.87	00300
1.1.1.87	01100
1.1.1.88	00900
1.1.1.88	01110
1.1.1.9	00040
1.1.1.9	01100
1.1.1.90	00350
1.1.1.90	00360
1.1.1.90	00622
1.1.1.90	00623
1.1.1.90	00930
1.1.1.90	01100
1.1.1.90	01120
1.1.1.92	00630
1.1.1.93	00630
1.1.1.94	00564
1.1.1.95	00260
1.1.1.95	00680
1.1.1.95	01100
1.1.1.95	01120
1.1.1.97	00623
1.1.1.97	01120
1.1.2.2	00040
1.1.2.2	00051
1.1.2.3	00620
1.1.2.3	01100
1.1.2.4	00620
1.1.2.5	00620
1.1.2.7	00010
1.1.2.7	00625
1.1.2.7	00680
1.1.2.7	01100
1.1.2.7	01110
1.1.2.7	01120
1.1.2.8	00010
1.1.2.8	00625
1.1.2.8	00640
1.1.2.8	01100
1.1.2.8	01110
1.1.2.8	01120
1.1.3.-	00524
1.1.3.-	01057
1.1.3.-	01110
1.1.3.12	00750
1.1.3.13	00680
1.1.3.13	01100
1.1.3.13	01120
1.1.3.15	00630
1.1.3.15	01100
1.1.3.15	01120
1.1.3.16	00981
1.1.3.16	01110
1.1.3.17	00260
1.1.3.19	00627
1.1.3.19	01120
1.1.3.21	00564
1.1.3.23	00730
1.1.3.3	00620
1.1.3.38	00627
1.1.3.38	01120
1.1.3.4	00030
1.1.3.4	01100
1.1.3.4	01120
1.1.3.5	00030
1.1.3.5	01100
1.1.3.5	01120
1.1.3.6	00100
1.1.3.8	00053
1.1.3.8	01100
1.1.3.9	00052
1.1.5.2	00030
1.1.5.2	01100
1.1.5.2	01110
1.1.5.3	00564
1.1.5.4	00620
1.1.5.8	00400
1.1.5.8	01061
1.1.5.8	01100
1.1.5.8	01110
1.1.99.-	00440
1.1.99.1	00260
1.1.99.10	00030
1.1.99.10	01100
1.1.99.10	01110
1.1.99.13	00500
1.1.99.14	00630
1.1.99.14	01100
1.1.99.14	01120
1.1.99.2	00650
1.1.99.20	00071
1.1.99.21	00051
1.1.99.3	00030
1.1.99.3	01100
1.1.99.3	01120
1.1.99.31	00627
1.1.99.31	01120
1.1.99.7	00620
1.1.99.7	01100
1.1.99.9	00750
1.10.2.-	01100
1.10.2.2	00190
1.10.2.2	01100
1.10.3.-	00965
1.10.3.-	01100
1.10.3.-	01110
1.10.3.1	00350
1.10.3.1	00950
1.10.3.1	01100
1.10.3.1	01110
1.10.3.3	00053
1.10.3.3	01100
1.10.3.4	00380
1.10.99.1	00195
1.10.99.3	00906
1.10.99.3	01100
1.10.99.3	01110
1.11.1.-	00480
1.11.1.11	00053
1.11.1.11	00480
1.11.1.12	00480
1.11.1.15	00480
1.11.1.15	01100
1.11.1.6	00380
1.11.1.6	00680
1.11.1.6	01100
1.11.1.6	01120
1.11.1.7	00360
1.11.1.7	00680
1.11.1.7	00940
1.11.1.7	01061
1.11.1.7	01100
1.11.1.7	01110
1.11.1.7	01120
1.11.1.8	00350
1.11.1.8	01100
1.11.1.9	00480
1.11.1.9	00590
1.12.1.2	00680
1.12.2.-	00680
1.12.7.2	00680
1.12.98.1	00680
1.12.98.1	01100
1.12.98.1	01120
1.12.98.2	00680
1.12.98.2	01100
1.12.98.2	01120
1.12.99.-	00680
1.12.99.6	00633
1.12.99.6	01120
1.13.-.-	00363
1.13.-.-	00626
1.13.-.-	01120
1.13.11-	00361
1.13.11.-	00351
1.13.11.-	00362
1.13.11.-	00380
1.13.11.-	00590
1.13.11.-	00622
1.13.11.-	00623
1.13.11.-	00624
1.13.11.-	00626
1.13.11.-	00627
1.13.11.-	00633
1.13.11.-	00965
1.13.11.-	01100
1.13.11.-	01120
1.13.11.1	00361
1.13.11.1	00362
1.13.11.1	00364
1.13.11.1	00623
1.13.11.1	01100
1.13.11.1	01120
1.13.11.10	00380
1.13.11.11	00380
1.13.11.11	01100
1.13.11.12	00591
1.13.11.12	00592
